stationName,addr,year,mangName,dmX,dmY
대성동,대전 동구 동구청로 36대성동,2018,도시대기,36.301843,127.460205
상대동(대전),대전 유성구 도안대로 398대전역사박물관,2018,도시대기,36.336411,127.334953
읍내동,대전 대덕구 대전로 1331번길 75(태아산업(주))태아산업(주),1988,도시대기,36.372778,127.417222
문평동,대전 대덕구 문평동로 18번길 34(문평동 119안전센터)문평동 119안전센터,2002,도시대기,36.446944,127.404722
문창동,대전 중구 보문로 20번길 38(문창동 주민센터)문창동 주민센터,1986,도시대기,36.316111,127.437778
구성동,대전 유성구 대학로 407 보건환경연구원보건환경연구원,2007,도시대기,36.372411,127.373938
노은동,대전 유성구 노은동로 87번길 89(노은1동 주민센터)노은1동 주민센터 3층 옥상,2011,도시대기,36.3682,127.3185
대흥동1,대전 중구 중앙로 58도로변,1997,도로변대기,36.323889,127.418333
성남동1,대전 동구 계족로 368번길 70(성남동 주민센터)성남동 주민센터,2003,도시대기,36.344444,127.437222
정림동,대전 서구 정림동로 10(정림동 주민센터)정림동 주민센터,2004,도시대기,36.304667,127.366717
둔산동,대전 서구 둔산서로 84(근로자 종합복지회관)근로자 종합복지회관(3층 옥상),2006,도시대기,36.354444,127.383056
월평동,대전 서구 월평동160-5도로변(월평자동차종합시장앞),2007,도로변대기,36.351111,127.354167
